Province,Year,Electricity production (billion kilowatt-hours),Hydropower (billion kilowatt-hours),Thermal power generation (billion kilowatt-hours),Hydro (%),Thermal (%),Renewable energy (%)
Sichuan,2017,3452.0,3023.56,374.28,0.8758864426419467,0.10842410196987252,1.568945538818077
Sichuan,2018,3693.0,3162.67,453.47,0.8563958841050636,0.12279176821012727,2.0812347684809107
Sichuan,2019,3924.0,3316.01,508.47,0.8450586136595312,0.12957951070336393,2.5361875637104903
Sichuan,2020,4182.0,3541.38,527.65,0.8468149210903874,0.1261716881874701,2.701339072214254
Sichuan,2021,4530.0,3724.46,666.79,0.8221766004415011,0.1471942604856512,3.06291390728477
Sichuan,2022,4846.0,3886.56,794.61,0.8020140321914981,0.16397234832851837,3.4013619479983492
Tianjin,2012,590.0,0.0,587.32,0.0,0.9954576271186442,0.45423728813558384
Tianjin,2013,624.0,0.2,619.05,0.0003205128205128205,0.9920673076923077,0.7612179487179516
Tianjin,2014,626.0,0.18,619.84,0.00028753993610223643,0.9901597444089457,0.9552715654952082
Tianjin,2015,623.0,0.16,615.45,0.0002568218298555377,0.9878812199036919,1.1861958266452532
