Province,Year,GDP,ID,"Energy consumption (10,000 tons of standard coal)","Coal consumption (10,000 tons)","Coke consumption (10,000 tons)","Crude oil consumption (10,000 tons)","Gasoline consumption (10,000 tons)","Kerosene consumption (10,000 tons)","Diesel consumption (10,000 tons)","Fuel oil consumption (10,000 tons)","Liquefied petroleum gas consumption (10,000 tons)",Natural gas consumption (billion cubic meters),"Carbon emissions (10,000 tons)",Carbon Emissions per GDP
Sichuan,2019,46363.8,23,20791.0,7713.47,1302.68,1010.17,916.97,214.2,912.92,50.06,54.57,254.38,33418.3633,0.07207856840897424
Guizhou,2019,16769.3,24,10423.0,12204.17,223.81,0.0,465.68,59.12,583.44,0.16,24.02,36.76,28048.44703,0.16726069084577175
Yunnan,2019,23223.8,25,12158.0,7532.73,1120.29,1086.58,467.34,127.65,673.37,0.23,86.84,16.47,25263.71209,0.10878371364720675
Shaanxi,2019,25793.2,27,13478.0,21548.81,750.78,1837.74,305.88,91.12,377.11,8.51,33.16,122.86,53770.62987,0.20846823918707255
Gansu,2019,8718.3,28,7818.0,6810.16,525.68,1479.96,208.78,10.49,281.82,3.47,23.98,32.93,21227.02288,0.24347662824174438
Qinghai,2019,2941.1,29,4235.0,1541.92,236.06,156.45,66.78,0.02,169.08,0.2,10.09,52.12,5955.565955,0.20249450732719051
Ningxia,2019,3748.5,30,7648.0,13724.01,626.57,459.61,19.63,0.01,120.58,141.05,110.26,25.35,31028.74546,0.8277643179938642
Xinjiang,2019,13597.1,31,18490.0,23702.13,1016.41,2376.51,307.42,61.44,591.8,0.76,39.2,131.09,61001.25188,0.4486342814276574
Beijing,2018,33106.0,1,7270.0,276.19,0.01,911.78,493.6,691.03,178.78,1.54,36.09,187.88,11540.56099,0.03485942424333958
Tianjin,2018,13362.9,2,7973.0,3832.89,867.23,1688.23,273.65,108.92,326.06,46.99,63.75,104.03,19597.90803,0.14665909368475405
Hebei,2018,32494.6,3,32185.0,29593.75,9341.63,1704.43,489.83,27.65,441.96,121.36,60.97,133.07,94441.6755,0.29063806140097126
Shanxi,2018,15958.1,4,20199.0,48940.14,2385.72,0.0,235.24,36.26,489.26,0.54,9.72,75.21,103795.3409,0.6504241789436085
Inner Mongolia,2018,16140.8,5,23068.0,44138.47,2125.06,362.35,352.99,46.85,430.53,2.54,55.51,61.97,95076.15613,0.5890424026690128
Liaoning,2018,23510.5,6,22321.0,17904.4,3279.64,8202.5,856.85,51.48,1040.93,216.88,241.65,73.16,77082.24136,0.32786304570298375
Jilin,2018,11253.8,7,7000.0,8553.18,592.83,935.8,204.68,32.58,364.61,25.79,36.51,29.71,23438.97213,0.20827606790595177
Heilongjiang,2018,12846.5,8,11436.0,13370.83,327.74,1552.63,393.15,64.01,353.08,43.11,106.63,43.84,34887.06244,0.27156861744444016
Shanghai,2018,36011.8,9,11454.0,4420.62,621.28,2309.12,494.01,701.64,439.49,658.22,104.99,93.49,26511.63759,0.07361930697715749
Jiangsu,2018,93207.6,10,31635.0,25407.28,4052.63,4067.87,1073.12,113.23,881.47,247.11,98.32,276.21,85430.7278,0.09165639690325682
Zhejiang,2018,58002.8,11,21675.0,14180.08,323.05,2769.88,862.2,163.65,761.97,304.08,297.98,134.91,46417.53669,0.0800263723303013
Anhui,2018,34010.9,12,13295.0,16673.06,1104.44,728.34,626.42,15.48,653.4,22.14,93.52,53.01,42451.11815,0.1248162152427604
Fujian,2018,38687.8,13,13131.0,8558.85,781.86,2144.17,547.86,165.3,438.9,176.13,57.94,51.92,30298.34821,0.07831499389988575
Jiangxi,2018,22716.5,14,9286.0,7877.77,918.13,768.0,374.5,17.93,588.21,11.74,78.75,25.93,23728.61955,0.10445543789756345
Shandong,2018,66648.9,15,40581.0,42319.48,3509.52,13035.48,690.08,120.27,1273.74,2376.4,191.56,156.33,147672.3053,0.22156750569026648
Henan,2018,49935.9,16,22659.0,22332.79,1423.42,828.75,761.76,81.89,993.8,31.68,219.11,106.31,57644.35225,0.11543669434214664
Hubei,2018,42022.0,17,16682.0,11100.11,1131.7,1420.68,784.54,116.26,895.35,129.43,195.41,62.7,36411.68921,0.08664911048974346
Hunan,2018,36329.7,18,15544.0,10922.31,970.67,949.7,718.92,63.17,649.29,90.44,111.73,30.47,31996.62224,0.08807290519877677
Guangdong,2018,99945.2,19,33330.0,17067.51,933.17,5920.91,1555.09,306.49,1672.51,333.77,834.85,190.64,71407.49288,0.07144664564181172
Guangxi,2018,19627.8,20,10823.0,7339.78,1023.08,1599.33,334.15,52.2,486.67,16.28,84.23,22.68,25149.43509,0.12813170650811603
